,0,1,2,3,4,5,6,7,8
698,699,75.0,-53.0,2.29e-06,-0.00077111,-0.00052441,0.0,0.0,0.0
699,700,75.0,-51.0,-7.041e-05,-0.00070746,-0.00057177,0.0,0.0,0.0
700,701,75.0,-49.0,-0.00014548,-0.00064078,-0.00060895,0.0,0.0,0.0
701,702,75.0,-47.0,-0.00022145,-0.00057262,-0.00063618,0.0,0.0,0.0
702,703,75.0,-45.0,-0.00029699,-0.00050438,-0.0006539,0.0,0.0,0.0
703,704,75.0,-43.0,-0.0003709,-0.00043733,-0.00066267,0.0,0.0,0.0
704,705,75.0,-41.0,-0.00044215,-0.00037257,-0.0006632,0.0,0.0,0.0
705,706,75.0,-39.0,-0.00050985,-0.00031108,-0.00065628,0.0,0.0,0.0
706,707,75.0,-37.0,-0.00057328,-0.00025364,-0.00064277,0.0,0.0,0.0
707,708,75.0,-35.0,-0.00063185,-0.0002009,-0.0006236,0.0,0.0,0.0
708,709,75.0,-33.0,-0.00068512,-0.00015339,-0.0005997,0.0,0.0,0.0
709,710,75.0,-31.0,-0.00073276,-0.00011147,-0.00057203,0.0,0.0,0.0
710,711,75.0,-29.0,-0.0007746,-7.539e-05,-0.00054154,0.0,0.0,0.0
711,712,75.0,-27.0,-0.00081054,-4.528e-05,-0.00050917,0.0,0.0,0.0
712,713,75.0,-25.0,-0.00084061,-2.116e-05,-0.00047587,0.0,0.0,0.0
713,714,75.0,-23.0,-0.00086496,-2.93e-06,-0.00044256,0.0,0.0,0.0
714,715,75.0,-21.0,-0.0008838,9.62e-06,-0.00041015,0.0,0.0,0.0
729,730,77.0,-71.0,0.00014777,-0.00075511,0.00028981,0.0,0.0,0.0
730,731,77.0,-69.0,0.00017204,-0.00079254,0.00021132,0.0,0.0,0.0
731,732,77.0,-67.0,0.0001853,-0.00081849,0.00013092,0.0,0.0,0.0
732,733,77.0,-65.0,0.00018772,-0.00083311,5.026e-05,0.0,0.0,0.0
733,734,77.0,-63.0,0.00017975,-0.00083682,-2.908e-05,0.0,0.0,0.0
734,735,77.0,-61.0,0.00016203,-0.00083023,-0.00010567,0.0,0.0,0.0
735,736,77.0,-59.0,0.00013539,-0.00081417,-0.00017827,0.0,0.0,0.0
736,737,77.0,-57.0,0.00010078,-0.00078961,-0.00024582,0.0,0.0,0.0
